time=2026-03-08T15:59:31.411+01:00 level=INFO source=routes.go:1636 msg="server config" env="map[HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/Users/jakubnetza/.ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false http_proxy: https_proxy: no_proxy:]"
time=2026-03-08T15:59:31.412+01:00 level=INFO source=images.go:473 msg="total blobs: 28"
time=2026-03-08T15:59:31.413+01:00 level=INFO source=images.go:480 msg="total unused blobs removed: 0"
time=2026-03-08T15:59:31.413+01:00 level=INFO source=routes.go:1689 msg="Listening on 127.0.0.1:11434 (version 0.15.6)"
time=2026-03-08T15:59:31.413+01:00 level=INFO source=runner.go:67 msg="discovering available GPUs..."
time=2026-03-08T15:59:31.414+01:00 level=INFO source=server.go:431 msg="starting runner" cmd="/opt/homebrew/Cellar/ollama/0.15.6/bin/ollama runner --ollama-engine --port 63143"
time=2026-03-08T15:59:31.459+01:00 level=INFO source=types.go:42 msg="inference compute" id=0 filter_id=0 library=Metal compute=0.0 name=Metal description="Apple M4 Max" libdirs="" driver=0.0 pci_id="" type=discrete total="37.4 GiB" available="37.4 GiB"
time=2026-03-08T15:59:31.459+01:00 level=INFO source=routes.go:1739 msg="vram-based default context" total_vram="37.4 GiB" default_num_ctx=32768
[GIN] 2026/03/08 - 15:59:32 | 200 |    3.110875ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/03/08 - 15:59:33 | 200 |    1.556166ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/03/08 - 15:59:35 | 200 |      30.625µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:35 | 200 |      18.541µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 15:59:35 | 200 |      11.625µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:38 | 200 |      10.209µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:40 | 200 |      15.792µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 15:59:40 | 200 |       12.25µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:41 | 200 |      10.875µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:44 | 200 |      12.125µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:45 | 200 |      14.666µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 15:59:45 | 200 |       5.666µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:47 | 200 |      11.667µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:50 | 200 |       9.916µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:50 | 200 |          15µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 15:59:50 | 200 |       5.916µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:53 | 200 |      10.833µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:56 | 200 |      13.583µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 15:59:56 | 200 |       8.375µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:56 | 200 |         9.5µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 15:59:59 | 200 |       9.083µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:00 | 200 |       19.75µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:00 | 200 |       5.541µs |       127.0.0.1 | GET      "/api/ps"
