=== GAI OS QUALITY GATE ===
1. Running Visual & Link Integrity Audit...
[VISUAL_AUDIT] Starting audit from: /Users/jakubnetza/Desktop/GAI/public
[VISUAL_AUDIT] Server running on http://127.0.0.1:3007
[AUDIT_SERVER] GET / -> /Users/jakubnetza/Desktop/GAI/public/ (Exists: true)
[AUDIT_SERVER] GET /css/design-system.css -> /Users/jakubnetza/Desktop/GAI/public/css/design-system.css (Exists: true)
[AUDIT_SERVER] GET /css/styles.css -> /Users/jakubnetza/Desktop/GAI/public/css/styles.css (Exists: true)
[AUDIT_SERVER] GET /css/article.css -> /Users/jakubnetza/Desktop/GAI/public/css/article.css (Exists: true)
[AUDIT_SERVER] GET /css/amazon-cta.css -> /Users/jakubnetza/Desktop/GAI/public/css/amazon-cta.css (Exists: true)
[AUDIT_SERVER] GET /js/articles-data.js -> /Users/jakubnetza/Desktop/GAI/public/js/articles-data.js (Exists: true)
[AUDIT_SERVER] GET /images/logo.png -> /Users/jakubnetza/Desktop/GAI/public/images/logo.png (Exists: true)
[AUDIT_SERVER] GET /js/main.js?v=1.3 -> /Users/jakubnetza/Desktop/GAI/public/js/main.js (Exists: true)
[AUDIT_SERVER] GET /js/analytics.js?v=1.1 -> /Users/jakubnetza/Desktop/GAI/public/js/analytics.js (Exists: true)
[AUDIT_SERVER] GET /data/articles/index.json -> /Users/jakubnetza/Desktop/GAI/public/data/articles/index.json (Exists: true)
[AUDIT_SERVER] POST /api/analytics/collect -> /Users/jakubnetza/Desktop/GAI/public/api/analytics/collect (Exists: true)
[AUDIT_SERVER] GET /images/articles/article6-cover.jpg -> /Users/jakubnetza/Desktop/GAI/public/images/articles/article6-cover.jpg (Exists: true)
[AUDIT_SERVER] GET /images/articles/iphone-se-4-vs-pixel-10a-main.jpg -> /Users/jakubnetza/Desktop/GAI/public/images/articles/iphone-se-4-vs-pixel-10a-main.jpg (Exists: true)
[AUDIT_SERVER] GET /images/articles/pixel-10a-vs-iphone-se-4-main.jpg -> /Users/jakubnetza/Desktop/GAI/public/images/articles/pixel-10a-vs-iphone-se-4-main.jpg (Exists: true)
[AUDIT_SERVER] GET /images/articles/cover_top-10-smart-home-gadgets-amazon-2025_1772533992513.jpg -> /Users/jakubnetza/Desktop/GAI/public/images/articles/cover_top-10-smart-home-gadgets-amazon-2025_1772533992513.jpg (Exists: true)
[AUDIT_SERVER] GET /images/articles/sony-wh-1000xm5-anc.jpg -> /Users/jakubnetza/Desktop/GAI/public/images/articles/sony-wh-1000xm5-anc.jpg (Exists: true)
[AUDIT_SERVER] GET /images/articles/meta-quest-3s-review-main.jpg -> /Users/jakubnetza/Desktop/GAI/public/images/articles/meta-quest-3s-review-main.jpg (Exists: true)
[AUDIT_SERVER] GET /images/articles/razer-v4-pro-vs-logitech-g915x-comparison-main.jpg -> /Users/jakubnetza/Desktop/GAI/public/images/articles/razer-v4-pro-vs-logitech-g915x-comparison-main.jpg (Exists: true)
[AUDIT_SERVER] GET /images/articles/cover_best-tech-gadgets-comparison-2025_1772533948164.jpg -> /Users/jakubnetza/Desktop/GAI/public/images/articles/cover_best-tech-gadgets-comparison-2025_1772533948164.jpg (Exists: true)
[AUDIT_SERVER] GET /favicon.ico -> /Users/jakubnetza/Desktop/GAI/public/favicon.ico (Exists: true)
[AUDIT_SERVER] GET /favicon.ico -> /Users/jakubnetza/Desktop/GAI/public/favicon.ico (Exists: true)
[AUDIT_SERVER] GET /images/articles/cover_top-ai-gadgets-amazon-2025_1772534001676.jpg -> /Users/jakubnetza/Desktop/GAI/public/images/articles/cover_top-ai-gadgets-amazon-2025_1772534001676.jpg (Exists: true)
