Connecting to 89.116.53.41...
Login successful.
Syncing: temp_ftp_blog/ -> /public_html/
  Uploading index.html
Syncing: temp_ftp_blog/css -> /public_html/css
  Uploading tailwind.min.css
  Uploading styles.css
  Uploading amazon-cta.css
  Uploading article.css
Syncing: temp_ftp_blog/images -> /public_html/images
Syncing: temp_ftp_blog/images/articles -> /public_html/images/articles
Syncing: temp_ftp_blog/images/articles/generated -> /public_html/images/articles/generated
  Uploading smart-home-innovative-gadgets-2025-fallback-0.svg
  Uploading 7-gen-1.svg
  Uploading article8-fallback-1.svg
  Uploading smart-home-innovative-gadgets-2025-fallback-1.svg
  Uploading 7-gen-2.svg
  Uploading article8-fallback-2.svg
  Uploading smart-home-innovative-gadgets-2025-fallback-2.svg
  Uploading article9-fallback-2.svg
  Uploading top-time-management-apps-for-freelancers-2025-fallback-0.svg
  Uploading holiday-tech-gift-guide-2025-fallback-0.svg
  Uploading top-5-powerbanks-2025-fallback-0.svg
  Uploading top-5-powerbanks-2025-fallback-1.svg
  Uploading best-sports-smartwatches-2025-fallback-2.svg
  Uploading 5-gen-1.svg
  Uploading best-sports-smartwatches-2025-fallback-1.svg
  Uploading 5-gen-2.svg
  Uploading best-smartphones-mobile-photography-2025-fallback-2.svg
  Uploading best-sports-smartwatches-2025-fallback-0.svg
  Uploading holiday-tech-gift-guide-2025-gen-2.svg
  Uploading holiday-tech-gift-guide-2025-gen-1.svg
  Uploading 2-gen-1.svg
  Uploading 2-gen-2.svg
  Uploading 3-fallback-2.svg
  Uploading iphone-15-pro-max.jpg
  Uploading article6-cover.jpg
  Uploading best-laptops-2025.jpg
  Uploading sony-xm5-black.jpg
  Uploading iphone-17-pro-max-performance.jpg
  Uploading macbook-m5.jpg
  Uploading apple-watch-s10-main.jpg
  Uploading samsung-quantum-dot-oled-tv.jpg
  Uploading tech-gadgets-2025-main.jpg
  Uploading framework-laptop.jpg
  Uploading soundcore-space.jpg
  Uploading polaroid-now.jpg
  Uploading dji-mini-4-flight.jpg
  Uploading article7-cover.jpg
  Uploading iphone-16-pro-max-colors.jpg
  Uploading sony-wh-1000xm5-design.jpg
  Uploading sony-wh-1000xm6-noise-cancellation.jpg
  Uploading sony-zv5.jpg
  Uploading sony-wh-1000xm6-main.jpg
  Uploading asus-rog-zephyrus-g14-main.jpg
  Uploading iphone-17-pro-max-camera.jpg
  Uploading macbook-pro-m3.jpg
  Uploading canon-eos-r7c.jpg
  Uploading dji-mini-3-pro-main.jpg
  Uploading best-gaming-accessories-2025-main.jpg
  Uploading iphone-17-pro-vlogging.jpg
  Uploading dji-mini-3-pro-alt.jpg
  Uploading apple-watch-series-10-alt.jpg
  Uploading sony-wh-1000xm5-noise-cancellation.jpg
  Uploading iphone17-camera.jpg
  Uploading dji-mini-4-pro.jpg
  Uploading iphone-16-pro-max.jpg
  Uploading s25-ultra-display.jpg
  Uploading iphone-15-pro-max-colors.jpg
  Uploading canon-r7c.jpg
  Uploading sony-wf-1000xm5.jpg
  Uploading article2-afeela.jpg
  Uploading iphone-15-pro-max-camera.jpg
  Uploading sony-xm5.jpg
  Uploading airpods-pro-2.jpg
  Uploading apple-watch-series-9-alt.jpg
  Uploading holiday-tech-2025.jpg
  Uploading sony-wh-1000xm5.jpg
  Uploading sony-wh-1000xm5-anc.jpg
  Uploading galaxy-watch-6.jpg
  Uploading samsung-galaxy-s23-ultra.jpg
  Uploading article2-cover.jpg
  Uploading iphone-17-pro-max-colors.jpg
  Uploading dji-pocket-3.jpg
  Uploading sony-wh-1000xm6-design.jpg
  Uploading iphone-16-pro-max-performance.jpg
  Uploading oura-ring-4.jpg
  Uploading apple-watch-ultra-2.jpg
  Uploading iphone-16-pro-max-camera.jpg
  Uploading article2-ai-pin.jpg
  Uploading bose-quietcomfort-earbuds-ii.jpg
  Uploading samsung-galaxy-watch-6.jpg
  Uploading iphone-17-pro-max.jpg
  Uploading iphone-15-pro-max-performance.jpg
  Uploading article5-cover.jpg
  Uploading microled.jpg
  Uploading sony-wh-1000xm5-app.jpg
  Uploading alienware-x14.jpg
  Uploading gopro-hero13.jpg
  Uploading sony-zv-5.jpg
  Uploading article8-cover.jpg
  Uploading apple-airpods-pro-2.jpg
  Uploading samsung-galaxy-s23-ultra-camera.jpg
Syncing: temp_ftp_blog/images/articles/downloads -> /public_html/images/articles/downloads
  Uploading test-topic-2025-2-1c4effd1.jpg
  Uploading best-smartphones-mobile-photography-2025-0-98e6b046.jpg
  Uploading test-topic-2025-1-9b9af3e8.jpg
  Uploading top-5-powerbanks-2025-2-13f5a6b1.jpg
  Uploading article9-0-d90b934b.jpg
  Uploading top-time-management-apps-for-freelancers-2025-1-bf4567a2.jpg
  Uploading top-time-management-apps-for-freelancers-2025-2-027c3249.jpg
  Uploading best-smartphones-mobile-photography-2025-1-14c7f6c6.jpg
  Uploading test-topic-2025-0-8222eb70.jpg
  Uploading article9-1-21ed3ecd.jpg
  Uploading apple-watch-series-9-main.jpg
  Uploading article3-cover.jpg
  Uploading razer-blade-14.jpg
  Uploading article8-mouse.jpg
  Uploading dji-mini-3-pro.jpg
  Uploading iphone17-vs-s25.jpg
  Uploading apple-watch-series-10-main.jpg
  Uploading apple-watch-series-9.jpg
  Uploading asus-rog-zephyrus-g14.jpg
  Uploading sony-wh-1000xm5-case.jpg
  Uploading sony-wh-1000xm5-main.jpg
  Uploading article5-solar.jpg
  Uploading asus-rog-zephyrus-g14-alt.jpg
Syncing: temp_ftp_blog/images/dalle -> /public_html/images/dalle
Syncing: temp_ftp_blog/js -> /public_html/js
  Uploading articles-data.js
  Uploading main.js
  Uploading analytics.js
  Uploading article.html
